Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0107,R193201A,PRE-STRESSED CONCRETE,18,B,3.0
19B81A0107,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,19,C,3.0
19B81A0108,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,22,A,3.0
19B81A0108,R1932012,WATER RESOURCES ENGINEERING-II,17,A,3.0
19B81A0108,R1932013,GEOTECHNICAL ENGINEERING-I,20,B,3.0
19B81A0108,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,25,C,3.0
19B81A0108,R1932015,CAD LAB,19,O,1.5
19B81A0108,R1932016,ENVIRONMENTAL ENGINEERING LAB,18,O,1.5
19B81A0108,R1932017,SOCIALLY RELEVANT PROJECT,16,S,1.0
19B81A0108,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0108,R193201A,PRE-STRESSED CONCRETE,22,A,3.0
19B81A0108,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,18,S,3.0
19B81A0109,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,20,C,3.0
19B81A0109,R1932012,WATER RESOURCES ENGINEERING-II,15,D,3.0
19B81A0109,R1932013,GEOTECHNICAL ENGINEERING-I,21,D,3.0
19B81A0109,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,20,D,3.0
19B81A0109,R1932015,CAD LAB,17,S,1.5
19B81A0109,R1932016,ENVIRONMENTAL ENGINEERING LAB,18,O,1.5
19B81A0109,R1932017,SOCIALLY RELEVANT PROJECT,16,S,1.0
19B81A0109,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0109,R193201A,PRE-STRESSED CONCRETE,19,C,3.0
19B81A0109,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,19,D,3.0
19B81A0110,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,7,F,0.0
19B81A0110,R1932012,WATER RESOURCES ENGINEERING-II,14,F,0.0
19B81A0110,R1932013,GEOTECHNICAL ENGINEERING-I,13,F,0.0
19B81A0110,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,20,C,3.0
19B81A0110,R1932015,CAD LAB,17,C,1.5
19B81A0110,R1932016,ENVIRONMENTAL ENGINEERING LAB,15,A,1.5
19B81A0110,R1932017,SOCIALLY RELEVANT PROJECT,18,S,1.0
19B81A0110,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0110,R193201A,PRE-STRESSED CONCRETE,14,D,3.0
19B81A0110,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,14,D,3.0
19B81A0111,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,21,D,3.0
19B81A0111,R1932012,WATER RESOURCES ENGINEERING-II,17,D,3.0
19B81A0111,R1932013,GEOTECHNICAL ENGINEERING-I,21,C,3.0
19B81A0111,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,23,C,3.0
19B81A0111,R1932015,CAD LAB,18,O,1.5
19B81A0111,R1932016,ENVIRONMENTAL ENGINEERING LAB,16,S,1.5
19B81A0111,R1932017,SOCIALLY RELEVANT PROJECT,17,S,1.0
19B81A0111,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0111,R193201A,PRE-STRESSED CONCRETE,14,C,3.0
19B81A0111,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,19,C,3.0
19B81A0112,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,16,C,3.0
19B81A0112,R1932012,WATER RESOURCES ENGINEERING-II,13,B,3.0
19B81A0112,R1932013,GEOTECHNICAL ENGINEERING-I,17,F,0.0
19B81A0112,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,23,D,3.0
19B81A0112,R1932015,CAD LAB,15,S,1.5
19B81A0112,R1932016,ENVIRONMENTAL ENGINEERING LAB,14,A,1.5
19B81A0112,R1932017,SOCIALLY RELEVANT PROJECT,16,S,1.0
19B81A0112,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0112,R193201A,PRE-STRESSED CONCRETE,11,D,3.0
19B81A0112,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,15,F,0.0
19B81A0113,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,21,B,3.0
19B81A0113,R1932012,WATER RESOURCES ENGINEERING-II,17,D,3.0
19B81A0113,R1932013,GEOTECHNICAL ENGINEERING-I,20,C,3.0
19B81A0113,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,24,C,3.0
19B81A0113,R1932015,CAD LAB,20,O,1.5
19B81A0113,R1932016,ENVIRONMENTAL ENGINEERING LAB,19,O,1.5
19B81A0113,R1932017,SOCIALLY RELEVANT PROJECT,19,O,1.0
19B81A0113,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0113,R193201A,PRE-STRESSED CONCRETE,17,B,3.0
19B81A0113,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,16,D,3.0
